

=== Predictions on test data ===

 inst#     actual  predicted error prediction
  1674        2:1        2:1       0.8 
  1675        2:1        2:1       0.733 
  1676        2:1        2:1       0.533 
  1677        2:1        2:1       0.733 
  1678        2:1        2:1       1 
  1679        2:1        2:1       0.933 
  1680        2:1        1:0   +   0.733 
  1681        2:1        1:0   +   0.733 
  1682        2:1        2:1       0.867 
  1683        2:1        2:1       1 
  1684        2:1        1:0   +   0.667 
  1685        2:1        2:1       1 
  1686        2:1        2:1       1 
  1687        2:1        2:1       0.667 
  1688        2:1        1:0   +   0.533 
  1689        2:1        2:1       1 
  1690        2:1        2:1       0.8 
  1691        2:1        2:1       0.867 
  1692        2:1        2:1       0.667 
  1693        2:1        2:1       0.8 
  1694        2:1        2:1       0.867 
  1695        2:1        2:1       0.533 
  1696        2:1        1:0   +   0.533 
  1697        2:1        2:1       0.867 
  1698        2:1        1:0   +   0.8 
  1699        2:1        2:1       0.733 
  1700        2:1        2:1       0.867 
  1701        2:1        2:1       0.667 
  1702        2:1        2:1       1 
  1703        2:1        1:0   +   0.533 
  1704        2:1        2:1       0.933 
  1705        2:1        2:1       0.733 
  1706        2:1        2:1       0.8 
  1707        2:1        1:0   +   0.733 
  1708        2:1        1:0   +   0.8 
  1709        2:1        1:0   +   0.533 
  1710        2:1        2:1       0.733 
  1711        2:1        1:0   +   0.8 
  1712        2:1        1:0   +   0.533 
  1713        2:1        2:1       1 
  1714        2:1        1:0   +   0.667 
  1715        2:1        1:0   +   0.533 
  1716        2:1        2:1       1 
  1717        2:1        2:1       0.733 
  1718        2:1        2:1       0.867 
  1719        2:1        2:1       0.667 
  1720        2:1        2:1       0.733 
  1721        2:1        1:0   +   0.667 
  1722        2:1        1:0   +   0.6 
  1723        2:1        2:1       0.6 
  1724        2:1        2:1       0.8 
  1725        2:1        2:1       0.733 

